Date 	Type 	Average 
2019-09	Production	14170
2019-10	Production	15159
2019-11	Production	15944
2019-12	Production	16552
2020-01	Production	17395
2020-02	Production	15987
2020-03	Production	15647
2020-04	Production	12795
2020-05	Production	13014
2020-06	Production	13007
2020-07	Production	14284
2020-08	Production	14075
2020-09	Production	13936
2020-10	Production	15099
2020-11	Production	15527
2020-12	Production	16723
2021-01	Production	17575
2021-02	Production	15623
2021-03	Production	16394
2021-04	Production	14810
2021-05	Production	14328
2021-06	Production	14041
2021-07	Production	14846
2021-08	Production	14380
2021-09	Production	14250
2021-10	Production	15238
2021-11	Production	16129
2021-12	Production	17152
2022-01	Production	17539
2022-02	Production	15704
2018-01	Renewables	1185
2018-02	Renewables	1012
2018-03	Renewables	1263
2018-04	Renewables	1205
2018-05	Renewables	1159
2018-06	Renewables	1047
2018-07	Renewables	960
2018-08	Renewables	948
2018-09	Renewables	926
2018-10	Renewables	970
2018-11	Renewables	999
2018-12	Renewables	1121
2019-01	Renewables	1108
2019-02	Renewables	1027
2019-03	Renewables	1242
2019-04	Renewables	1068
2019-05	Renewables	1127
2019-06	Renewables	1078
2019-07	Renewables	993
2019-08	Renewables	931
2019-09	Renewables	935
2019-10	Renewables	959
2019-11	Renewables	1078
2019-12	Renewables	1257
2020-01	Renewables	1220
2020-02	Renewables	1333
2020-03	Renewables	1337
2020-04	Renewables	1130
2020-05	Renewables	1185
2020-06	Renewables	1080
2020-07	Renewables	1097
2020-08	Renewables	1025
2020-09	Renewables	985
2020-10	Renewables	1174
2020-11	Renewables	1059
2020-12	Renewables	1172
2021-01	Renewables	1229
2021-02	Renewables	1245
2021-03	Renewables	1284
2021-04	Renewables	1171
2021-05	Renewables	1291
2021-06	Renewables	1085
2021-07	Renewables	1119
2021-08	Renewables	1103
2021-09	Renewables	927
2021-10	Renewables	1117
2021-11	Renewables	1035
2021-12	Renewables	1221
2022-01	Renewables	1274
2022-02	Renewables	1309
